epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.943,1.22304,1.51554,0.83378,0.76784,0.53995,0.52851,0.33912,0.98459,0.77165,0.80234,0.000405983,0.000405983,0.000405983
2,510.134,1.1701,0.72403,0.81448,0.75934,0.56386,0.61117,0.37138,1.0489,0.68939,0.80351,0.000814505,0.000814505,0.000814505
3,730.575,1.12773,0.6784,0.81126,0.73863,0.58746,0.57813,0.33625,1.02375,0.92347,0.80068,0.00121478,0.00121478,0.00121478
4,969.205,1.17808,0.6515,0.80934,0.8555,0.58631,0.68307,0.4153,1.14701,0.76694,0.80737,0.00121287,0.00121287,0.00121287
5,1214.14,1.14094,0.59571,0.80935,0.74049,0.58867,0.65318,0.3818,1.10567,0.58873,0.80963,0.0012005,0.0012005,0.0012005
6,1459.98,1.15035,0.58418,0.81328,0.88557,0.58346,0.69765,0.39791,1.09281,0.60432,0.80674,0.00118812,0.00118812,0.00118812
7,1730.81,1.07563,0.55025,0.80214,0.69389,0.64181,0.67182,0.4057,1.08401,0.56608,0.80673,0.00117575,0.00117575,0.00117575
8,1969.21,1.10883,0.55466,0.8046,0.78997,0.69702,0.72814,0.44358,1.07872,0.53603,0.80384,0.00116337,0.00116337,0.00116337
9,2225.12,1.01343,0.52718,0.80067,0.82906,0.6848,0.74845,0.47984,0.93456,0.49975,0.79948,0.001151,0.001151,0.001151
10,2480.81,1.00356,0.52746,0.7997,0.80186,0.70247,0.74211,0.47055,0.94783,0.54014,0.79806,0.00113863,0.00113863,0.00113863
11,2687.77,1.01614,0.51713,0.79786,0.81605,0.74101,0.76795,0.50751,0.87813,0.45748,0.79436,0.00112625,0.00112625,0.00112625
12,2916.32,1.00447,0.51333,0.79899,0.84504,0.71698,0.75249,0.48223,0.96281,0.51185,0.80114,0.00111388,0.00111388,0.00111388
